id,post_message,link_title,affluence_index,likes,comments,shares,link,muslim_prop,male_prop,age_index
26781952138_10155584420427139,Kriti Kulhari reacts on 'Indu Sarkar' controversy,Kirti Kulhari on controversies surrounding 'Indu Sarkar',1.61,82,1,0,http://www.bombaytimes.com/celebs/kirti-kulhari-on-controversies-surrounding-indu-sarkar/articleshow/59530592.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,17.57%,76.47%,0.36
26781952138_10155584437397139,He owns 16 cows and nine buffaloes.,Muslim man to fast for gau raksha,1.61,1117,69,44,http://timesofindia.indiatimes.com/city/rajkot/muslim-man-to-fast-for-gau-raksha/articleshow/59517715.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,13.04%,83.38%,0.37
26781952138_10155584448852139,The news comes amidst Pakistani media reports that Islamabad was considering allowing Jadhav's mother to visit him in Pakistan.,No change in Pakistan's stand on consular access to Kulbhushan Jadhav: India,1.61,157,28,2,http://timesofindia.indiatimes.com/india/no-change-in-pakistans-stand-on-consular-access-to-kulbhushan-jadhav-india/articleshow/59581646.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,20.50%,86.50%,0.37
26781952138_10155584452757139,,Video: Tibetan community celebrates Dalai Lama’s birthday with traditional fanfare,1.61,337,3,5,http://timesofindia.indiatimes.com/videos/city/bengaluru/bengaluru-tibetan-community-celebrates-dalai-lamas-birthday-with-traditional-fanfare/videoshow/59477192.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,7.38%,73.05%,0.39
26781952138_10155584465792139,Here's what Salim Khan has to say about 'Tubelight' debacle,Salim Khan: We will pay back the ’Tubelight’ distributors,1.61,751,9,5,http://www.misskyra.com/celebs/salim-khan-we-will-pay-back-the-tubelight-distributors/articleshow/59541244.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,18.18%,77.24%,0.34
26781952138_10155584491067139,Reactions?,Virat Kohli best batsman in the world: Mohammad Amir,1.61,3615,155,26,http://timesofindia.indiatimes.com/sports/cricket/news/virat-kohli-best-batsman-in-the-world-mohammad-amir/articleshow/59645391.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,17.21%,87.99%,0.36
26781952138_10155584510937139,China said that New Delhi should immediately withdraw its forces to avoid any escalation.,"Don't use Doklam standoff to achieve political targets, China tells India",1.61,852,111,40,http://timesofindia.indiatimes.com/world/china/dont-use-trespass-to-realise-political-targets-china-tells-india/articleshow/59647798.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,13.33%,92.42%,0.38
26781952138_10155584553432139,,Antique items from heritage town Karaikudi on sale in Chennai | City- Times of India Videos,1.61,81,5,4,http://timesofindia.indiatimes.com/videos/city/chennai/antique-items-from-heritage-town-karaikudi-on-sale-in-chennai/videoshow/59543384.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,17.46%,66.13%,0.41
26781952138_10155584592212139,Ex-BCCI president Anurag Thakur says he never intended to undermine the majesty of the apex court.,Anurag Thakur tenders unconditional apology in Supreme Court,1.61,247,7,5,http://timesofindia.indiatimes.com/sports/cricket/news/ex-bcci-president-anurag-thakur-tenders-unconditional-apology-in-sc/articleshow/59579182.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,7.88%,86.57%,0.38
26781952138_10155584592502139,China and India have been engaged in a stand-off in the Dokalam area near the Bhutan tri-junction for past 19 days,Atmosphere not right' for a Xi-Modi meet in Hamburg: China,1.62,738,58,22,http://timesofindia.indiatimes.com/india/atmosphere-not-right-for-a-xi-modi-meet-in-hamburg-china/articleshow/59471257.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,10.44%,91.18%,0.37
26781952138_10155584626412139,Municipality officials found a live cockroach in the food served.,West Bengal eatery gets closure notice for 'serving stale food',1.62,97,6,5,http://timesofindia.indiatimes.com/india/west-bengal-eatery-gets-closure-notice-for-serving-stale-food/articleshow/59578393.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,15.46%,84.62%,0.40
26781952138_10155584644442139,"""We don't feel any difference. It's a celebration everywhere,"" say buoyant Qataris about sanctions

Read more at http://toi.in/r3HChZ",,1.62,450,4,62,https://www.facebook.com/TimesofIndia/videos/10155617847747139/,30.42%,79.03%,0.39
26781952138_10155584695447139,,"Video: Shahi Imam slapped by Bajrang Dal activists, forced to say ‘Bharat Mata Ki Jai’",1.62,7784,1647,1399,http://timesofindia.indiatimes.com/videos/news/shahi-imam-slapped-by-bajrang-dal-activists-forced-to-say-bharat-mata-ki-jai/videoshow/59557484.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,22.29%,91.53%,0.36
26781952138_10155584704682139,"70-year-old YouTube hit redefining beauty in South Korea 

Read more: http://toi.in/zqymGY12",,1.87,48,0,0,https://www.facebook.com/TimesofIndia/videos/10155604192667139/,2.78%,69.70%,0.38
26781952138_10155584721102139,,Video: BJP workers create ruckus in Mussoorie police station over controversial FB post,1.62,51,4,1,http://timesofindia.indiatimes.com/videos/news/bjp-workers-create-ruckus-in-mussoorie-police-station-over-controversial-fb-post/videoshow/59670621.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,16.19%,91.18%,0.41
26781952138_10155584728557139,NPCI is also set to launch multi-bank UPI partnerships for global players such as Google and WhatsApp soon.,"Soon you can pay on Uber, Google, Amazon, WhatsApp through UPI",1.62,123,3,3,http://www.gadgetsnow.com/tech-news/uber-amazon-on-upi-soon-google-whatsapp-also-in-pipeline/articleshow/59531423.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,11.65%,84.21%,0.35
26781952138_10155584743127139,This was seen as an attempt by the chief minister to maintain a distance with the RJD minister,Bihar alliance rift: Nitish 'distances' himself from RJD minister at event Tejashwi skipped,1.62,173,7,1,http://timesofindia.indiatimes.com/india/bihar-alliance-rift-nitish-distances-himself-from-rjd-minister-at-govt-function/articleshow/59609983.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,7.43%,82.73%,0.37
26781952138_10155584750352139,Donald Trump suggested he could change his position on the Paris climate accord.,Something could happen': Trump hints at change in his stand over Paris accord,1.62,87,9,3,http://timesofindia.indiatimes.com/world/europe/something-could-happen-trump-hints-at-change-in-his-stand-over-paris-accord/articleshow/59583872.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,11.69%,88.89%,0.38
26781952138_10155584774567139,"North Korea warns of nuclear 'tipping point' over US bomber drill 

Read more at http://toi.in/A55Flb",,1.62,104,15,10,https://www.facebook.com/TimesofIndia/videos/10155585711847139/,24.71%,94.38%,0.39
26781952138_10155584777137139,"However, the police termed these claims fallacious",FB post boasts of Nabha jailbreak mastermind fleeing country,1.62,69,2,0,http://timesofindia.indiatimes.com/city/chandigarh/fb-post-boasts-of-nabha-jailbreak-mastermind-fleeing-country/articleshow/59510074.cms?%3Futm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,14.75%,83.02%,0.37
26781952138_10155584798362139,Uttar Pradesh govt presents its first annual budget,Uttar Pradesh budget 2017: Highlights - Times of India,1.62,476,8,10,http://timesofindia.indiatimes.com/city/lucknow/uttar-pradesh-budget-2017-highlights/articleshow/59539993.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,9.42%,81.00%,0.36
26781952138_10155584818317139,,Venkaiah Naidu Vs Gopalkrishna Gandhi: A politician Vs a scholar,1.62,235,146,7,http://timesofindia.indiatimes.com/india/venkaiah-naidu-vs-gopalkrishna-gandhi-a-politician-vs-a-scholar/articleshow/59649613.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,18.22%,93.90%,0.39
26781952138_10155584827632139,,Video: ‘Drunk’ man steals cop's bike in Karnataka's Hassan,1.62,88,4,4,http://timesofindia.indiatimes.com/videos/city/bengaluru/drunk-man-steals-cops-bike-in-karnatakas-hassan/videoshow/59529976.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,17.14%,89.19%,0.39
26781952138_10155584832537139,,Video: Baba Ramdev forays into private security business with 'Parakram Suraksha',1.62,353,33,16,http://timesofindia.indiatimes.com/videos/news/baba-ramdev-forays-into-private-security-business-with-parakram-suraksha/videoshow/59580784.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,8.76%,88.72%,0.38
26781952138_10155584848597139,"India is worried Djibouti base would become another of China's ""string of pearls""",China sends troops to open first overseas military base in Djibouti,1.62,894,27,39,http://timesofindia.indiatimes.com/world/china/china-sends-troops-to-open-first-overseas-military-base-in-djibouti/articleshow/59556244.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,11.99%,89.59%,0.36
26781952138_10155584867447139,Actors who looked dapper in their school uniforms,Flashback: Bollywood actors who looked dapper in their school uniforms | The Times of India,1.62,287,0,4,http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Flashback-Bollywood-actors-who-looked-dapper-in-their-school-uniforms/photostory/59561749.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,12.35%,58.90%,0.37
26781952138_10155584886042139,,My Times,2.32,10,1,0,http://fertileconversations.in/,20.00%,70.00%,0.29
26781952138_10155584899122139,,"Actor Dileep arrested over kidnapping, sexual assault of actress | City- Times of India Videos",1.62,65,1,5,http://timesofindia.indiatimes.com/videos/city/kochi/actor-dileep-arrested-over-kidnapping-sexual-assault-of-actress/videoshow/59538619.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,13.33%,76.67%,0.42
26781952138_10155584938087139,,HappyTrips.com,1.62,59,2,1,http://www.happytrips.com/india/travel-guide/5-waterfalls-in-india-you-need-to-see-this-monsoon/gs38797814.cms?utm_source=facebook.com&utm_medium=referral,6.38%,58.70%,0.42
26781952138_10155584953967139,,Video: Illinois man teaches dog to whisper bark,1.50,49,0,1,http://timesofindia.indiatimes.com/videos/news/illinois-man-teaches-dog-to-whisper-bark/videoshow/59643037.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,9.30%,70.00%,0.42
26781952138_10155584958097139,,Video: Speeding SUV crashes into roof of St. Louis home,1.62,128,10,7,http://timesofindia.indiatimes.com/videos/news/speeding-suv-crashes-into-roof-of-st-louis-home/videoshow/59643107.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,12.61%,84.96%,0.38
